"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-01",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-02",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-03",,,"0.19"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-04",,,"0.06"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-05",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-06",,,"0.14"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-07",,,"0.04"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-08",,,"0.35"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-09",,,"0.08"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-10",,,"0.05"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-11",,,"0.77"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-12",,,"0.26"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-13",,,"0.03"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-14",,,"0.08"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-15",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-16",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-17",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-18",,,"1.19"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-19",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-20",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-21",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-22",,,"0.01"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-23",,,"0.87"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-24",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-25",,,"0.01"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-26",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-27",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-28",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-29",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-30",,,"0.84"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-01-31",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-01",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-02",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-03",,,"0.02"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-04",,,"0.05"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-05",,,"0.04"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-06",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-07",,,"0.42"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-08",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-09",,,"0.05"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-10",,,"0.01"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-11",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-12",,,"0.66"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-13",,,"0.08"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-14",,,"0.21"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-15",,,"0.24"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-16",,,"0.02"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-17",,,"0.43"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-18",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-19",,,"0.13"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-20",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-21",,,"0.27"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-22",,,"0.16"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-23",,,"0.10"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-24",,,"0.01"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-25",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-26",,,"0.00"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-27",,,"0.20"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-02-28",,,"0.04"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-03-01",,,"0.07"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-03-02",,,"0.21"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-03-03",,,"0.33"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-03-04",,,"0.27"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-03-05",,,"0.01"
"RQC00668814","WEATHER FORECAST OFFICE SAN JUAN, PR US","18.4312","-65.9917","3.0","2015-03-06",,,"0.02"
